Date,Next-gen Console,Handheld Console,PC,Console,Mobile
"2026-01-16","5,236","2,468","1,476","1,374","460"
"2026-01-17","4,701","2,146","1,167","1,161","348"
"2026-01-18","5,647","2,579","1,539","1,459","433"
"2026-01-19","4,191","1,603","1,234","1,154","360"
"2026-01-20","3,560","1,088","1,178","881","253"
"2026-01-21","2,958","799","1,035","775","178"
"2026-01-22","3,011","680","1,175","669","200"
"2026-01-23","2,595","699","1,045","666","146"
"2026-01-24","5,540","2,255","1,772","1,467","194"
"2026-01-25","7,755","3,134","2,519","2,099","299"
"2026-01-26","3,109","896","1,171","897","133"
"2026-01-27","6,580","2,735","2,041","1,684","222"
"2026-01-28","6,861","2,800","2,069","1,781","297"
"2026-01-29","7,109","2,955","2,305","1,968","369"
"2026-01-30","7,918","3,578","2,563","2,328","400"
"2026-01-31","11,032","6,093","3,364","3,089","594"
"2026-02-01","10,159","5,013","3,429","2,853","465"
"2026-02-02","4,345","1,311","1,490","1,217","196"
"2026-02-03","4,446","1,476","1,515","1,248","156"
"2026-02-04","4,238","1,549","1,392","1,212","145"
"2026-02-05","4,437","1,040","1,420","1,099","165"
"2026-02-06","5,292","1,658","1,629","1,387","182"
"2026-02-07","5,745","2,237","1,734","1,415","218"
"2026-02-08","28,017","11,611","6,274","7,696","820"
"2026-02-09","5,406","2,157","1,749","1,710","354"
"2026-02-10","4,479","1,481","1,460","1,291","264"
"2026-02-11","7,220","5,817","2,200","2,150","497"
"2026-02-12","5,085","1,917","1,593","1,495","265"
"2026-02-13","3,932","1,474","1,302","1,096","213"
"2026-02-14","3,891","1,413","1,162","1,164","223"
"2026-02-15","3,308","1,048","985","920","179"
"2026-02-16","2,998","907","1,031","889","150"
"2026-02-17","2,289","560","716","629","153"
"2026-02-18","2,803","882","847","864","122"
"2026-02-19","2,998","803","759","803","182"
"2026-02-20","2,221","574","774","557","109"
"2026-02-21","2,865","888","994","826","132"
"2026-02-22","2,246","550","770","606","112"
"2026-02-23","2,077","518","682","583","88"
"2026-02-24","1,592","325","499","437","91"
"2026-02-25","1,717","378","622","480","86"
"2026-02-26","1,712","401","560","452","96"
"2026-02-27","2,147","652","708","596","122"
"2026-02-28","2,584","1,042","811","789","111"
"2026-03-01","5,504","1,251","1,927","1,572","274"
"2026-03-02","3,116","428","1,105","888","244"
"2026-03-03","1,611","358","550","536","71"
"2026-03-04","2,107","486","664","522","114"
"2026-03-05","1,564","334","500","417","99"
"2026-03-06","2,074","584","635","551","102"
"2026-03-07","4,828","1,291","1,417","1,384","245"
"2026-03-08","2,343","647","694","644","105"
"2026-03-09","2,850","214","998","823","171"
"2026-03-10","1,272","257","508","368","99"
"2026-03-11","1,610","413","514","456","87"
"2026-03-12","1,151","221","369","277","89"
"2026-03-13","1,555","450","572","348","71"
"2026-03-14","1,557","494","599","469","64"
"2026-03-15","1,807","578","635","537","120"
"2026-03-16","1,269","385","451","401","80"
"2026-03-17","1,461","383","519","434","67"
"2026-03-18","1,342","401","481","396","63"
"2026-03-19","1,774","311","613","391","129"
"2026-03-20","2,087","414","607","473","189"
"2026-03-21","2,273","481","715","547","127"
"2026-03-22","2,224","557","785","605","173"
"2026-03-23","1,486","321","504","428","157"
"2026-03-24","1,900","397","585","498","86"
"2026-03-25","1,212","221","390","319","75"
"2026-03-26","1,520","426","543","412","68"
"2026-03-27","1,145","270","464","337","64"