Date,Discover - Homebar,Following,Discover - General Rows,Discover - Collections,Creator Pages,Search Results,Recents,Other Sources,Discover - Recommendations,By Epic,Sponsored Row
"2026-01-16","4,569","2,440","2,223","884","460","399","39","0","0","0","0"
"2026-01-17","4,348","1,951","497","1,748","391","423","160","5","0","0","0"
"2026-01-18","3,903","1,492","3,799","1,373","395","449","230","0","16","0","0"
"2026-01-19","3,532","1,100","2,267","690","335","401","192","3","22","0","0"
"2026-01-20","3,417","772","1,368","627","235","357","154","1","29","0","0"
"2026-01-21","2,810","771","413","618","228","706","170","0","29","0","0"
"2026-01-22","2,725","733","433","714","172","774","164","0","20","0","0"
"2026-01-23","2,203","449","596","679","190","799","208","0","27","0","0"
"2026-01-24","2,941","455","5,249","982","283","985","298","1","34","0","0"
"2026-01-25","3,788","474","8,799","1,111","243","1,003","332","0","56","0","0"
"2026-01-26","2,378","325","1,749","719","161","589","254","0","31","0","0"
"2026-01-27","2,827","404","8,083","907","193","545","249","0","54","0","0"
"2026-01-28","3,178","332","8,489","748","264","502","234","1","60","0","0"
"2026-01-29","3,511","339","9,179","709","196","505","234","1","32","0","0"
"2026-01-30","4,108","403","10,389","732","304","506","311","0","34","0","0"
"2026-01-31","5,419","542","15,332","1,170","450","780","425","2","52","0","0"
"2026-02-01","5,829","569","12,429","1,234","485","874","468","3","28","0","0"
"2026-02-02","3,846","374","2,367","828","264","495","362","0","23","0","0"
"2026-02-03","3,216","403","3,101","959","182","443","479","1","57","0","0"
"2026-02-04","2,979","393","3,268","764","131","446","450","0","105","0","0"
"2026-02-05","2,651","389","3,680","462","102","372","434","1","70","0","0"
"2026-02-06","2,986","402","5,017","582","163","430","497","1","70","0","0"
"2026-02-07","3,440","462","5,095","800","230","550","662","0","110","0","0"
"2026-02-08","8,497","575","41,366","1,835","299","964","796","8","78","0","0"
"2026-02-09","4,654","420","3,199","1,525","120","611","772","1","74","0","0"
"2026-02-10","3,766","447","2,055","1,322","136","505","669","0","75","0","0"
"2026-02-11","10,239","399","3,859","1,977","141","539","664","3","50","13","0"
"2026-02-12","3,785","433","3,278","1,575","93","534","601","0","56","0","0"
"2026-02-13","3,347","364","1,763","1,154","103","496","680","1","109","0","0"
"2026-02-14","3,544","438","903","1,424","119","561","773","0","91","0","0"
"2026-02-15","3,255","452","436","714","166","598","751","1","67","0","0"
"2026-02-16","2,628","339","1,136","598","115","459","648","0","52","0","0"
"2026-02-17","2,216","256","396","566","61","367","439","0","46","0","0"
"2026-02-18","2,318","231","1,821","402","70","306","339","0","31","0","0"
"2026-02-19","2,825","373","1,269","391","77","236","339","0","35","0","0"
"2026-02-20","2,292","344","452","486","69","228","319","0","45","0","0"
"2026-02-21","2,619","359","1,162","598","99","371","437","0","60","0","0"
"2026-02-22","2,508","325","393","140","95","354","429","0","40","0","0"
"2026-02-23","1,900","282","904","184","75","263","283","0","57","0","0"
"2026-02-24","1,591","197","364","187","55","255","218","0","77","0","0"
"2026-02-25","1,446","169","888","148","62","249","222","0","99","0","0"
"2026-02-26","1,508","195","521","315","68","322","226","0","66","0","0"
"2026-02-27","1,728","268","1,188","322","78","310","250","0","81","0","0"
"2026-02-28","2,100","359","1,579","252","112","491","337","0","107","0","0"
"2026-03-01","2,613","352","2,661","284","95","533","310","0","85","0","3,595"
"2026-03-02","1,992","227","651","263","47","365","252","0","53","0","1,931"
"2026-03-03","1,674","286","342","221","63","263","227","0","50","0","0"
"2026-03-04","1,538","231","1,059","457","64","248","214","0","82","0","0"
"2026-03-05","1,470","162","387","358","86","196","205","0","50","0","0"
"2026-03-06","1,548","223","1,362","227","59","228","232","0","67","0","0"
"2026-03-07","2,252","248","2,983","215","89","400","319","0","75","0","2,584"
"2026-03-08","2,055","239","964","355","100","322","353","1","44","0","0"
"2026-03-09","1,515","178","169","100","53","221","221","0","35","0","2,564"
"2026-03-10","1,393","139","124","155","81","168","218","1","225","0","0"
"2026-03-11","1,253","142","771","152","53","168","195","1","345","0","0"
"2026-03-12","1,157","137","127","53","38","177","189","0","229","0","0"
"2026-03-13","1,278","135","783","160","73","175","228","0","164","0","0"
"2026-03-14","1,435","206","411","312","77","247","315","0","180","0","0"
"2026-03-15","1,455","195","439","705","115","256","328","0","184","0","0"
"2026-03-16","1,108","160","297","383","116","180","198","0","144","0","0"
"2026-03-17","1,059","175","451","456","87","191","195","0","250","0","0"
"2026-03-18","1,074","150","323","454","74","154","186","0","268","0","0"
"2026-03-19","1,300","238","363","470","83","166","292","0","306","0","0"
"2026-03-20","1,456","291","494","431","142","208","356","0","392","0","0"
"2026-03-21","1,678","342","441","475","131","281","407","2","386","0","0"
"2026-03-22","1,695","331","380","726","133","329","354","0","396","0","0"
"2026-03-23","1,192","228","87","592","69","179","263","0","286","0","0"
"2026-03-24","1,235","229","863","258","98","189","248","0","346","0","0"
"2026-03-25","1,114","155","76","162","78","158","183","0","291","0","0"
"2026-03-26","1,097","173","789","135","72","129","206","0","368","0","0"
"2026-03-27","1,063","193","231","67","56","159","256","0","255","0","0"