Date,Active players,Recurring Fortnite players,Retained island players
"2026-02-26","1927","1186","357"
"2026-02-27","2295","1349","404"
"2026-02-28","2793","1497","455"
"2026-03-01","4700","2293","571"
"2026-03-02","3057","1685","416"
"2026-03-03","2020","1242","356"
"2026-03-04","2167","1303","319"
"2026-03-05","1688","1047","274"
"2026-03-06","2091","1190","317"
"2026-03-07","3981","2065","422"
"2026-03-08","2660","1411","432"
"2026-03-09","2654","1562","309"
"2026-03-10","1676","1027","275"
"2026-03-11","1717","1040","236"
"2026-03-12","1339","823","247"
"2026-03-13","1641","1009","276"
"2026-03-14","1785","1060","314"
"2026-03-15","1995","1194","301"
"2026-03-16","1516","1005","254"
"2026-03-17","1559","1026","243"
"2026-03-18","1495","1039","212"
"2026-03-19","1650","1163","229"
"2026-03-20","1878","1309","253"
"2026-03-21","2103","",""
"2026-03-22","2216","",""
"2026-03-23","1607","",""
"2026-03-24","1778","",""
"2026-03-25","1344","",""
"2026-03-26","1558","",""
"2026-03-27","1344","",""