Date,1,2,3,4,5,6,7,8,9,10
"2026-01-16","0","1","1","0","0","0","2","4","0","4"
"2026-01-17","0","0","0","1","1","0","0","1","2","2"
"2026-01-18","0","1","0","2","0","0","0","1","0","4"
"2026-01-19","1","0","0","0","0","1","0","0","1","1"
"2026-01-20","0","0","0","0","1","0","1","0","0","1"
"2026-01-21","0","0","0","0","0","0","1","2","1","2"
"2026-01-22","0","0","1","0","0","0","1","2","1","2"
"2026-01-23","1","0","0","0","1","0","1","0","2","1"
"2026-01-24","1","0","0","0","0","0","2","1","0","4"
"2026-01-25","0","0","0","0","1","1","1","2","0","7"
"2026-01-26","1","0","0","1","1","1","0","1","3","5"
"2026-01-27","2","0","0","0","0","0","1","0","0","7"
"2026-01-28","0","0","0","0","0","2","2","4","1","0"
"2026-01-29","0","0","0","1","1","0","1","3","1","3"
"2026-01-30","0","0","0","0","0","0","2","3","1","2"
"2026-01-31","0","0","2","0","1","1","3","3","0","8"
"2026-02-01","0","1","0","1","0","2","2","1","1","7"
"2026-02-02","0","0","0","0","1","0","0","1","3","9"
"2026-02-03","2","0","0","1","1","1","0","1","0","5"
"2026-02-04","1","0","1","0","0","0","1","2","1","3"
"2026-02-05","1","0","0","0","0","1","2","2","1","2"
"2026-02-06","0","0","1","1","1","0","2","0","2","4"
"2026-02-07","0","0","0","0","1","1","1","1","0","2"
"2026-02-08","0","1","1","1","2","2","9","6","4","12"
"2026-02-09","2","0","0","0","0","1","1","2","1","8"
"2026-02-10","0","0","0","0","0","0","2","0","0","8"
"2026-02-11","0","0","1","1","0","1","1","1","2","5"
"2026-02-12","2","0","0","0","0","0","2","0","1","3"
"2026-02-13","1","0","0","0","0","1","0","1","0","4"
"2026-02-14","1","0","0","0","0","1","2","0","0","2"
"2026-02-15","0","0","0","0","0","2","1","0","2","2"
"2026-02-16","1","0","1","0","0","1","0","2","2","4"
"2026-02-17","1","0","0","0","1","1","1","1","0","2"
"2026-02-18","1","0","0","0","0","1","0","1","0","1"
"2026-02-19","1","0","0","1","1","1","0","0","0","2"
"2026-02-20","0","0","1","0","0","2","1","0","0","1"
"2026-02-21","0","1","0","0","3","1","0","0","0","1"
"2026-02-22","0","1","0","1","1","0","1","3","1","3"
"2026-02-23","0","0","1","0","0","0","0","0","0","2"
"2026-02-24","0","0","0","0","0","0","0","0","0","2"
"2026-02-26","0","0","0","2","0","0","1","3","2","1"
"2026-02-27","1","0","0","0","0","0","1","0","1","0"
"2026-02-28","0","0","0","1","0","0","1","0","1","1"
"2026-03-01","0","0","0","0","0","1","0","3","1","3"
"2026-03-02","0","0","0","1","0","0","1","0","0","2"
"2026-03-03","0","0","0","1","0","0","0","0","1","2"
"2026-03-04","0","0","0","1","0","0","0","0","0","3"
"2026-03-05","0","0","0","1","1","0","0","0","0","2"
"2026-03-06","0","0","0","2","0","0","1","1","0","0"
"2026-03-07","0","0","0","0","1","1","0","2","0","6"
"2026-03-08","1","0","0","0","1","0","0","1","0","1"
"2026-03-09","0","0","0","0","0","0","0","0","1","0"
"2026-03-10","0","0","0","1","0","0","1","0","0","1"
"2026-03-11","1","0","0","0","0","0","0","0","0","1"
"2026-03-12","0","0","0","0","0","0","0","1","0","1"
"2026-03-13","0","0","0","0","1","1","0","0","0","2"
"2026-03-14","0","0","0","0","0","0","0","1","0","1"
"2026-03-15","0","0","0","0","0","0","1","1","1","0"
"2026-03-16","0","0","0","0","0","0","0","0","0","1"
"2026-03-17","0","0","0","0","0","0","1","0","1","0"
"2026-03-18","0","0","0","0","0","0","0","0","0","2"
"2026-03-19","0","0","0","0","0","0","0","1","1","1"
"2026-03-20","0","0","0","0","0","0","0","1","0","1"
"2026-03-22","0","0","0","1","0","0","1","0","2","2"
"2026-03-23","0","0","1","0","0","0","0","0","0","0"
"2026-03-24","0","0","0","1","0","0","0","0","0","2"
"2026-03-25","0","0","0","0","1","0","0","1","1","2"
"2026-03-27","0","0","0","0","0","0","1","1","1","0"