Date,5th percentile,25th percentile,Median,75th percentile,95th percentile
"2025-05-16","1","2","2","3","7"
"2025-05-17","1","2","2","3","7"
"2025-05-18","1","2","2","3","7"
"2025-05-19","1","2","2","3","7"
"2025-05-20","1","2","2","3","8"
"2025-05-21","1","2","2","3","7"
"2025-05-22","1","2","2","3","7"
"2025-05-23","1","2","2","3","7"
"2025-05-24","1","2","2","3","7"
"2025-05-25","1","2","2","3","7"
"2025-05-26","1","2","2","3","7"
"2025-05-27","1","2","2","3","7"
"2025-05-28","1","2","2","3","7"
"2025-05-29","1","2","2","3","8"
"2025-05-30","1","2","2","3","8"
"2025-05-31","1","2","2","3","8"
"2025-06-01","1","2","2","3","8"
"2025-06-02","1","2","2","4","8"
"2025-06-03","1","2","2","3","8"
"2025-06-04","1","2","2","5","9"
"2025-06-05","1","2","2","7","9"
"2025-06-06","1","2","2","6","9"
"2025-06-07","1","2","2","6","9"
"2025-06-08","1","2","2","6","9"
"2025-06-09","1","2","2","7","9"
"2025-06-10","1","2","2","7","9"
"2025-06-11","1","2","3","7","10"
"2025-06-12","1","2","2","7","10"
"2025-06-13","1","2","2","7","11"
"2025-06-14","1","2","2","6","9"
"2025-06-15","1","2","2","3","8"
"2025-06-16","1","2","2","3","8"
"2025-06-17","1","2","2","3","8"
"2025-06-18","1","2","2","4","9"
"2025-06-19","1","2","2","6","9"
"2025-06-20","1","2","2","7","9"
"2025-06-21","1","2","2","6","9"
"2025-06-22","1","2","2","4","9"
"2025-06-23","1","2","2","6","9"
"2025-06-24","1","2","2","6","9"
"2025-06-25","1","2","2","6","9"
"2025-06-26","1","2","2","6","9"
"2025-06-27","1","2","2","7","9"
"2025-06-28","1","2","2","6","9"
"2025-06-29","1","2","2","4","9"
"2025-06-30","1","2","2","4","9"
"2025-07-01","1","2","2","5","9"
"2025-07-02","1","2","2","6","9"
"2025-07-03","1","2","2","5","9"
"2025-07-04","1","2","2","6","9"
"2025-07-05","1","2","2","5","8"
"2025-07-06","1","2","2","7","9"
"2025-07-07","1","2","2","7","9"
"2025-07-08","1","2","2","6","9"
"2025-07-09","1","2","2","5","9"
"2025-07-10","1","2","2","6","9"
"2025-07-11","1","2","2","4","8"
"2025-07-12","1","2","2","6","9"
"2025-07-13","1","2","2","6","9"
"2025-07-14","1","2","3","7","10"
"2025-07-15","1","2","3","7","9"
"2025-07-16","1","2","2","7","9"
"2025-07-17","1","2","3","7","10"
"2025-07-18","1","2","2","7","10"
"2025-07-19","1","2","2","6","9"
"2025-07-20","1","2","2","6","9"
"2025-07-21","1","2","2","6","9"
"2025-07-22","1","2","2","6","9"
"2025-07-23","1","2","3","7","9"
"2025-07-24","1","2","2","7","10"
"2025-07-25","1","2","2","7","9"
"2025-07-26","1","2","2","5","9"
"2025-07-27","1","2","2","7","9"
"2025-07-28","1","2","2","7","9"
"2025-07-29","1","2","2","6","10"
"2025-07-30","1","2","2","7","9"
"2025-07-31","1","2","2","6","9"
"2025-08-01","1","2","2","6","9"
"2025-08-02","1","2","2","6","9"
"2025-08-03","1","2","2","6","9"
"2025-08-04","1","2","2","6","9"
"2025-08-05","1","2","2","7","9"
"2025-08-06","1","2","2","6","9"
"2025-08-07","1","2","2","7","10"
"2025-08-08","1","2","2","7","9"
"2025-08-09","1","2","2","5","9"
"2025-08-10","1","2","2","6","9"
"2025-08-11","1","2","2","6","9"
"2025-08-12","1","2","2","6","9"
"2025-08-13","1","2","3","7","9"
"2025-08-14","1","2","3","7","10"
"2025-08-15","1","2","3","7","10"
"2025-08-16","1","2","2","7","9"
"2025-08-17","1","2","2","7","9"
"2025-08-18","1","2","3","7","10"
"2025-08-19","1","2","3","7","10"
"2025-08-20","1","2","7","9","13"
"2025-08-21","1","2","6","8","13"
"2025-08-22","1","2","5","8","12"
"2025-08-23","1","2","3","7","11"
"2025-08-24","1","2","3","7","12"
"2025-08-25","1","2","7","9","13"
"2025-08-26","1","2","6","8","13"
"2025-08-27","1","2","6","8","13"
"2025-08-28","2","2","7","9","13"
"2025-08-29","1","2","7","9","13"
"2025-08-30","2","3","7","9","13"
"2025-08-31","2","3","7","9","13"
"2025-09-01","1","2","7","9","13"
"2025-09-02","2","3","7","9","13"
"2025-09-03","2","2","8","11","13"
"2025-09-04","2","3","8","12","13"
"2025-09-05","2","2","7","11","13"
"2025-09-06","2","3","7","9","13"
"2025-09-07","2","3","8","9","13"
"2025-09-08","2","3","8","10","13"
"2025-09-09","2","2","8","11","14"
"2025-09-10","2","3","8","12","14"
"2025-09-11","2","3","8","12","16"
"2025-09-12","2","7","9","12","14"
"2025-09-13","1","3","8","10","13"
"2025-09-14","2","6","9","12","13"
"2025-09-15","2","4","9","12","14"
"2025-09-16","2","7","10","12","14"
"2025-09-17","2","3","9","13","14"
"2025-09-18","2","7","11","13","15"
"2025-09-19","2","4","9","12","14"
"2025-09-20","2","7","9","12","14"
"2025-09-21","2","7","9","12","13"
"2025-09-22","2","7","10","12","14"
"2025-09-23","2","8","12","13","14"
"2025-09-24","2","4","9","12","14"
"2025-09-25","2","8","12","12","14"
"2025-09-26","2","8","9","12","13"
"2025-09-27","2","7","9","11","13"
"2025-09-28","2","8","9","12","13"
"2025-09-29","2","7","10","12","14"
"2025-09-30","2","7","9","12","14"
"2025-10-01","2","8","9","12","14"
"2025-10-02","2","7","11","13","14"
"2025-10-03","2","8","9","12","13"
"2025-10-04","2","7","9","13","14"
"2025-10-05","2","8","9","12","14"
"2025-10-06","1","8","12","12","14"
"2025-10-07","3","9","12","12","13"
"2025-10-08","2","7","9","12","13"
"2025-10-09","3","9","12","13","13"
"2025-10-10","2","8","12","13","13"
"2025-10-11","2","8","9","12","14"
"2025-10-12","2","9","10","12","15"
"2025-10-13","1","7","10","13","14"
"2025-10-14","2","8","10","12","14"
"2025-10-15","3","9","9","12","13"
"2025-10-16","1","9","9","12","13"
"2025-10-17","2","9","12","12","13"
"2025-10-18","2","9","10","12","13"
"2025-10-19","2","8","11","12","13"
"2025-10-20","7","9","12","12","15"
"2025-10-21","2","9","12","12","13"
"2025-10-22","2","9","9","12","13"
"2025-10-23","1","9","11","12","13"
"2025-10-24","3","9","12","12","13"
"2025-10-25","2","9","11","12","13"
"2025-10-26","2","7","10","12","13"
"2025-10-27","7","9","11","12","13"
"2025-10-28","2","8","9","12","14"
"2025-10-29","2","9","9","12","13"
"2025-10-30","2","9","10","12","14"
"2025-10-31","3","9","12","12","14"